samp_id	project_id	status	pseudonym	cancer	seq	instrument
SRR15197307	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197309	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197311	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197313	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197315	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197317	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197320	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197321	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197322	PRJNA748264	MSI-L	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197323	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197324	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197325	PRJNA748264	MSI-H	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197326	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197327	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197328	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197329	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197330	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197331	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197332	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197333	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197334	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197335	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197336	PRJNA748264	MSS	korea_rna	colon	rna	Illumina HiSeq 2000
SRR15197353	PRJNA748264	MSI-H	korea_rna	colon	rna	Illumina HiSeq 2000
