sample_id,msi_status,probability_of_MSI-H
SRR15197307,MSI-H,0.8228
SRR15197308,MSS,0.0334
SRR15197309,MSI-H,0.934
SRR15197310,MSS,0.0577
SRR15197312,MSS,0.0604
SRR15197314,MSS,0.0612
SRR15197315,MSI-H,0.8314
SRR15197316,MSS,0.0659
SRR15197317,MSI-H,0.8182
SRR15197318,MSS,0.1123
SRR15197319,MSS,0.0846
SRR15197320,MSI-H,0.9075
SRR15197321,MSI-H,0.6731
SRR15197322,MSI-H,0.7166
SRR15197323,MSI-H,0.853
SRR15197324,MSI-H,0.8508
SRR15197325,MSI-H,0.9035
SRR15197326,MSI-H,0.8503
SRR15197327,MSI-H,0.7165
SRR15197328,MSI-H,0.7163
SRR15197329,MSI-H,0.5857
SRR15197330,MSS,0.3466
SRR15197331,MSI-H,0.8481
SRR15197332,MSI-H,0.8301
SRR15197333,MSI-H,0.8836
SRR15197334,MSI-H,0.6031
SRR15197335,MSI-H,0.8489
SRR15197336,MSI-H,0.5228
SRR15197337,MSS,0.0692
SRR15197338,MSS,0.0781
SRR15197339,MSS,0.0771
SRR15197340,MSS,0.069
SRR15197341,MSS,0.0614
SRR15197342,MSS,0.05
SRR15197343,MSS,0.0771
SRR15197344,MSS,0.0948
SRR15197345,MSS,0.083
SRR15197346,MSS,0.0873
SRR15197347,MSS,0.0928
SRR15197348,MSS,0.0538
SRR15197349,MSS,0.0674
SRR15197350,MSS,0.0616
SRR15197351,MSS,0.0665
SRR15197352,MSS,0.0699
SRR15197353,MSI-H,0.8367
SRR15197354,MSI-H,0.8372
SRR15197355,MSI-H,0.923
SRR15197356,MSI-H,0.8546
SRR15197357,MSI-H,0.8644
SRR15197358,MSI-H,0.5753
SRR15197359,MSS,0.0511
SRR15197360,MSI-H,0.8224
SRR15197361,MSS,0.0659
SRR15197362,MSI-H,0.7773
SRR15197363,MSS,0.0361
SRR15197364,MSI-H,0.6994
SRR15197365,MSS,0.0351
SRR15197366,MSI-H,0.575
SRR15197367,MSS,0.0609
SRR15197368,MSI-H,0.9016
SRR15197369,MSS,0.092
SRR15197370,MSI-H,0.6028
SRR15197371,MSS,0.1355
SRR15197372,MSI-H,0.7875
SRR15197373,MSS,0.0752
SRR15197374,MSI-H,0.7784
SRR15197375,MSS,0.0574
SRR15197376,MSI-H,0.8032
SRR15197377,MSS,0.0655
SRR15197378,MSI-H,0.7139
SRR15197379,MSS,0.0599
SRR15197380,MSI-H,0.7283
SRR15197381,MSS,0.0488
SRR15197382,MSI-H,0.7464
SRR15197383,MSI-H,0.8461
SRR15197384,MSI-H,0.9243
SRR15197385,MSI-H,0.9148
SRR15197386,MSI-H,0.8446
SRR15197387,MSI-H,0.829
SRR15197388,MSI-H,0.6151
SRR15197390,MSI-H,0.8466
SRR15197391,MSS,0.0865
SRR15197392,MSI-H,0.8637
SRR15197393,MSS,0.1062
SRR15197394,MSI-H,0.8584
SRR15197395,MSS,0.0753
SRR15197396,MSI-H,0.8887
SRR15197397,MSS,0.0918
SRR15197398,MSI-H,0.8863
SRR15197399,MSS,0.0614
SRR15197400,MSI-H,0.5588
SRR15197401,MSS,0.0503
SRR15197402,MSI-H,0.6263
SRR15197403,MSS,0.1057
SRR15197404,MSI-H,0.9073
SRR15197405,MSS,0.1213
SRR15197406,MSI-H,0.8862
SRR15197407,MSS,0.0397
SRR15197408,MSI-H,0.8379
SRR15197409,MSI-H,0.6634
SRR15197410,MSI-H,0.8397
SRR15197411,MSI-H,0.7988
SRR15197412,MSI-H,0.8567
SRR15197413,MSI-H,0.9566
SRR15197414,MSI-H,0.795
SRR15197415,MSI-H,0.8379
SRR15197416,MSI-H,0.7611
SRR15197417,MSI-H,0.9219
SRR15197418,MSI-H,0.8923
SRR15197419,MSI-H,0.8575
SRR15197420,MSI-H,0.8101
SRR15197421,MSI-H,0.9606
SRR15197422,MSI-H,0.7957
SRR15197423,MSI-H,0.854
SRR15197424,MSI-H,0.9201
SRR15197425,MSI-H,0.9002
SRR15197426,MSI-H,0.6217
SRR15197427,MSI-H,0.7998
SRR15197428,MSI-H,0.774
SRR15197429,MSS,0.4336
SRR15197430,MSI-H,0.8416
SRR15197431,MSI-H,0.8599
SRR15197432,MSI-H,0.9165
SRR15197433,MSI-H,0.5286
SRR15197434,MSI-H,0.9407
SRR15197435,MSI-H,0.8464
SRR15197436,MSI-H,0.8393
SRR15197437,MSI-H,0.568
SRR15197438,MSI-H,0.7572
SRR15197439,MSI-H,0.8519
SRR15197440,MSI-H,0.9035
SRR15197441,MSI-H,0.8736
SRR15197442,MSI-H,0.7289
SRR15197443,MSI-H,0.8238
SRR15197444,MSI-H,0.7168
SRR15197445,MSI-H,0.8506
SRR15197446,MSI-H,0.5945
SRR15197447,MSI-H,0.7693
SRR15197448,MSI-H,0.8429
SRR15197449,MSI-H,0.7033
SRR15197450,MSI-H,0.6357
SRR15197451,MSI-H,0.8182
SRR15197452,MSI-H,0.8523
SRR15197453,MSI-H,0.8133
SRR15197454,MSI-H,0.8951
SRR15197455,MSI-H,0.8163
SRR15197456,MSI-H,0.8531
SRR15197457,MSI-H,0.8276
SRR15197458,MSI-H,0.5738
SRR15197459,MSI-H,0.923
SRR15197460,MSI-H,0.64
SRR15197461,MSI-H,0.8422
SRR15197462,MSI-H,0.8503
SRR15197463,MSS,0.4292
SRR15197464,MSI-H,0.9425
SRR15197465,MSI-H,0.8756
SRR15197466,MSI-H,0.8201
SRR15197467,MSI-H,0.6753
SRR15197468,MSI-H,0.7822
SRR15197469,MSI-H,0.8626
SRR15197470,MSI-H,0.7921
SRR15197471,MSI-H,0.9226
SRR15197472,MSI-H,0.8515
SRR15197473,MSI-H,0.5775
SRR15197474,MSI-H,0.5
SRR15197475,MSI-H,0.8092
SRR15197476,MSI-H,0.7551
SRR15197477,MSI-H,0.8154
SRR15197478,MSI-H,0.7938
SRR15197479,MSI-H,0.8421
SRR15197480,MSI-H,0.7245
SRR15197481,MSI-H,0.5342
SRR15197482,MSI-H,0.8599
SRR15197483,MSI-H,0.7403
SRR15197484,MSI-H,0.8596
SRR15197485,MSI-H,0.9019
SRR15197486,MSI-H,0.7311
SRR15197487,MSI-H,0.8363
SRR15197488,MSI-H,0.9152
SRR15197489,MSI-H,0.91
SRR15197490,MSI-H,0.9427
SRR15197491,MSI-H,0.7605
SRR15197492,MSI-H,0.9215
SRR15197493,MSI-H,0.9123
SRR15197494,MSS,0.3193
SRR15197495,MSI-H,0.8596
SRR15197496,MSI-H,0.82
