Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id
ERR3653982,WXS,252,27094680648,PRJEB33640,SAMEA5820604,10726049878,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3645998,SAMEA5820604,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T11:56:00Z,1,SAMEA5820604,CRC0081_LMX_WES,ERP116450,CRC0081_LMX_WES
ERR3653983,WXS,252,16390704708,PRJEB33640,SAMEA5820605,6239076731,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3645999,SAMEA5820605,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T11:53:00Z,1,SAMEA5820605,CRC0081_XL_WES,ERP116450,CRC0081_XL_WES
ERR3653984,WXS,252,16634926224,PRJEB33640,SAMEA5820606,6241497392,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646000,SAMEA5820606,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T11:55:00Z,1,SAMEA5820606,CRC0104_LMX_WES,ERP116450,CRC0104_LMX_WES
ERR3653985,WXS,252,17651612412,PRJEB33640,SAMEA5820607,6540607053,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646001,SAMEA5820607,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T11:58:00Z,1,SAMEA5820607,CRC0104_XL_WES,ERP116450,CRC0104_XL_WES
ERR3653986,WXS,252,18785893896,PRJEB33640,SAMEA5820608,6954895750,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646002,SAMEA5820608,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T11:58:00Z,1,SAMEA5820608,CRC0174_LMX_WES,ERP116450,CRC0174_LMX_WES
ERR3653987,WXS,252,17153883432,PRJEB33640,SAMEA5820609,6280046250,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646003,SAMEA5820609,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:01:00Z,1,SAMEA5820609,CRC0174_XL_WES,ERP116450,CRC0174_XL_WES
ERR3653988,WXS,252,13210005060,PRJEB33640,SAMEA5820610,4701278629,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646004,SAMEA5820610,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:17Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:02:00Z,1,SAMEA5820610,CRC0313_LMX_WES,ERP116450,CRC0313_LMX_WES
ERR3653989,WXS,252,16795935576,PRJEB33640,SAMEA5820611,6457052903,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646005,SAMEA5820611,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:03:00Z,1,SAMEA5820611,CRC0313_XL_WES,ERP116450,CRC0313_XL_WES
ERR3653990,WXS,252,16264173996,PRJEB33640,SAMEA5820612,5911034737,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-11,2019-07-31,ERX3646006,SAMEA5820612,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:04:00Z,1,SAMEA5820612,CRC0438_LMX_WES,ERP116450,CRC0438_LMX_WES
ERR3653991,WXS,252,15970433724,PRJEB33640,SAMEA5820613,5902243639,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646007,SAMEA5820613,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:05:00Z,1,SAMEA5820613,CRC0438_XL_WES,ERP116450,CRC0438_XL_WES
