Position	43ae985c-ff38-4640-8fe3-10fe00c6b322.rna_seq.genomic.gdc_realn.bam
unstable_loci	28
passing_loci	321
msing_score	0.0872
msi status	NEG
chr3:61680592-61680702	
chr3:61674133-61674245	
chr3:61661270-61661382	
chr3:61565560-61565670	
chr3:60991748-60991869	
chr3:60818988-60819102	
chr3:60108615-60108730	
chr3:58567232-58567344	
chr3:58501638-58501749	
chr3:58382442-58382559	
chr3:58332913-58333025	
chr3:58319582-58319695	
chr3:58318942-58319056	
chr3:58106302-58106427	
chr3:57928214-57928324	
chr3:57927892-57928005	
chr3:57641703-57641822	
chr3:57625590-57625701	
chr3:57249513-57249625	
chr3:56891291-56891406	
chr3:56861834-56861944	
chr3:56792942-56793057	
chr3:56743952-56744062	
chr3:55468088-55468206	
chr3:53870598-53870713	
chr3:53192587-53192702	
chr3:53192488-53192603	1
chr3:53000212-53000326	
chr3:52840167-52840279	0
chr3:52694246-52694356	0
chr3:52603477-52603587	
chr3:52545562-52545672	0
chr3:52438805-52438915	
chr3:52255561-52255672	0
chr3:52254890-52255009	0
chr3:52050337-52050455	
chr3:51668036-51668152	
chr3:51499876-51499988	
chr3:51396451-51396563	
chr3:51394198-51394309	0
chr3:50647950-50648062	
chr3:50258848-50258960	0
chr3:50188124-50188249	
chr3:50118404-50118526	0
chr3:49534137-49534248	0
chr3:49415464-49415574	
chr3:49358190-49358310	0
chr3:49278092-49278205	
chr3:49030314-49030425	1
chr3:49029812-49029924	
chr3:48983556-48983670	
chr3:48857082-48857194	
chr3:48750324-48750434	
chr3:48749847-48749960	
chr3:48749433-48749549	
chr3:48748241-48748360	
chr3:48748078-48748195	
chr3:48466235-48466355	
chr3:48294035-48294150	
chr3:48292504-48292614	
chr3:47816867-47816978	
chr3:47587181-47587291	0
chr3:47329873-47329983	
chr3:47063938-47064049	0
chr3:47062321-47062435	0
chr3:47039163-47039277	0
chr3:45919020-45919135	
chr3:45824315-45824438	0
chr3:45718244-45718358	
chr3:45680959-45681075	0
chr3:45677776-45677887	
chr3:45122953-45123066	
chr3:45083863-45083974	
chr3:44918183-44918294	
chr3:44916777-44916899	
chr3:44750509-44750620	
chr3:43350814-43350926	
chr3:42784025-42784143	
chr3:42215451-42215575	
chr3:42210353-42210475	0
chr3:42210035-42210167	0
chr3:41239936-41240061	0
chr3:41239871-41239990	0
chr3:40466907-40467018	0
chr3:40461979-40462111	0
chr3:40312255-40312365	1
chr3:39900857-39900968	
chr3:39096342-39096452	0
chr3:38254668-38254780	
chr3:38165724-38165844	
chr3:38138562-38138678	
chr3:37983912-37984023	
chr3:37981079-37981196	
chr3:37892515-37892626	
chr3:36990492-36990602	
chr3:36990392-36990509	
chr3:36989239-36989350	
chr3:36988862-36988973	
chr3:33146842-33146955	
chr3:33145978-33146090	
chr3:33085245-33085357	0
chr3:32716183-32716294	0
chr3:32526603-32526728	0
chr3:32526012-32526130	
chr3:32482320-32482432	0
chr3:32481320-32481430	0
chr3:32152795-32152908	
chr3:31636251-31636361	0
chr3:31596786-31596896	0
chr3:30691897-30692007	
chr3:30650329-30650439	
chr3:28323304-28323421	
chr3:28322744-28322856	
chr3:27373100-27373215	
chr3:25754614-25754726	
chr3:25638128-25638241	0
chr3:25607274-25607384	0
chr3:24481179-24481307	
chr3:24121083-24121193	
chr3:23978435-23978547	
chr3:22382864-22382976	
chr3:22382796-22382907	
chr3:19984364-19984476	
chr3:19947235-19947345	
chr3:18424071-18424184	
chr3:18423692-18423805	
chr3:18348811-18348921	0
chr3:18348685-18348797	
chr3:17673435-17673546	
chr3:17554796-17554907	
chr3:17485237-17485357	
chr3:17219037-17219149	
chr3:17160328-17160439	
chr3:16324596-16324735	
chr3:15668305-15668418	
chr3:15645786-15645903	
chr3:15429971-15430082	
chr3:15220149-15220260	
chr3:14957755-14957866	
chr3:14944629-14944742	0
chr3:14943219-14943330	0
chr3:14488861-14488973	0
chr3:14485130-14485242	
chr3:13420143-13420256	
chr3:13337838-13337948	0
chr3:13332675-13332793	
chr3:12583715-12583835	0
chr3:12583294-12583407	
chr3:12401566-12401681	
chr3:12329116-12329233	
chr3:11643619-11643732	0
chr3:11558425-11558538	
chr3:11392425-11392544	
chr3:11319333-11319445	
chr3:10206812-10206924	
chr3:10153551-10153674	
chr3:10152319-10152434	0
chr3:10022559-10022671	
chr3:9823439-9823549	
chr3:9806466-9806587	1
chr3:9747823-9747941	
chr3:9701664-9701777	0
chr3:9477629-9477751	0
chr3:9476409-9476528	
chr3:9391222-9391337	
chr3:5218805-5218915	
chr3:5218303-5218421	
chr3:5192870-5192987	
chr3:4983779-4983905	0
chr3:4847345-4847459	
chr3:3150468-3150582	
chr3:400431-400541	
chr2:241672990-241673100	
chr2:241493547-241493661	
chr2:241486411-241486537	
chr2:241480482-241480593	
chr2:241446287-241446397	0
chr2:241422368-241422481	
chr2:241360978-241361092	
chr2:241095993-241096104	0
chr2:241085647-241085766	
chr2:239050250-239050361	
chr2:239048510-239048644	
chr2:238902914-238903024	
chr2:238367929-238368039	0
chr2:238329022-238329135	0
chr2:238259905-238260016	
chr2:238084843-238084961	
chr2:237779830-237779944	
chr2:237336170-237336284	
chr2:237324059-237324169	
chr2:237087042-237087159	0
chr2:236131437-236131547	
chr2:236079320-236079439	
chr2:235909968-235910079	
chr2:235831134-235831252	
chr2:234495089-234495202	
chr2:234494975-234495090	
chr2:234494817-234494928	
chr2:234494748-234494859	
chr2:234493715-234493825	
chr2:233515513-233515624	
chr2:233158734-233158847	
chr2:233068543-233068654	
chr2:232918578-232918703	
chr2:232879370-232879483	
chr2:232847467-232847586	
chr2:232833003-232833121	
chr2:232583380-232583506	
chr2:232582751-232582874	
chr2:231808618-231808731	
chr2:231454832-231454943	0
chr2:231165213-231165324	0
chr2:230470844-230470963	
chr2:230403160-230403270	
chr2:230196499-230196609	
chr2:229831837-229831952	
chr2:229766059-229766170	
chr2:229764147-229764258	
chr2:226981385-226981499	
chr2:226799089-226799207	
chr2:226735992-226736103	
chr2:224585126-224585250	
chr2:224576637-224576749	
chr2:224039151-224039263	
chr2:223975269-223975392	0
chr2:223967184-223967295	
chr2:223934031-223934154	
chr2:223900988-223901099	
chr2:223877255-223877367	
chr2:223875334-223875445	
chr2:223756416-223756535	
chr2:222943035-222943149	
chr2:222580444-222580557	0
chr2:222561484-222561601	
chr2:222561052-222561167	
chr2:222451090-222451206	
chr2:221425853-221425964	
chr2:219161752-219161863	
chr2:218595700-218595813	0
chr2:218254058-218254174	0
chr2:217804206-217804339	
chr2:216672488-216672606	0
chr2:216672272-216672386	0
chr2:216038539-216038653	
chr2:210022254-210022374	
chr2:209733410-209733543	
chr2:208358349-208358459	
chr2:207744480-207744598	
chr2:207734529-207734640	
chr2:207619123-207619240	
chr2:207612407-207612523	
chr2:207600188-207600313	
chr2:207598436-207598552	
chr2:207165665-207165776	
chr2:207081011-207081134	
chr2:207079711-207079823	
chr2:207079015-207079126	
chr2:207077741-207077853	
chr2:206122991-206123102	
chr2:206119769-206119879	
chr2:206117142-206117254	
chr2:206115496-206115610	
chr2:205994837-205994960	
chr2:205778170-205778286	
chr2:205722390-205722500	
chr2:205440410-205440521	
chr2:203435471-203435583	
chr2:203435319-203435434	
chr2:203434516-203434632	
chr2:203431646-203431758	
chr2:203427421-203427531	
chr2:203328437-203328557	
chr2:203298985-203299095	
chr2:202766011-202766157	
chr2:202563384-202563494	
chr2:202559965-202560075	
chr2:202429298-202429409	
chr2:202394840-202394953	
chr2:202300328-202300438	0
chr2:202037612-202037723	
chr2:201479406-201479516	
chr2:201379764-201379875	
chr2:201377830-201377942	
chr2:201278490-201278604	0
chr2:201219655-201219773	
chr2:201171629-201171744	
chr2:201171259-201171370	
chr2:201167016-201167128	
chr2:201165537-201165649	
chr2:200979478-200979589	
chr2:200974160-200974273	
chr2:200860444-200860556	0
chr2:200822679-200822809	0
chr2:199927515-199927630	
chr2:199927258-199927378	
chr2:199271510-199271622	
chr2:197390560-197390676	
chr2:197143099-197143213	
chr2:196135727-196135850	
chr2:191678353-191678477	
chr2:190963853-190963965	
chr2:190912992-190913103	
chr2:190880822-190880970	
chr2:190408271-190408388	
chr2:189450292-189450410	
chr2:189033429-189033542	
chr2:188595009-188595125	
chr2:188594016-188594128	
chr2:187465518-187465634	
chr2:187465442-187465557	
chr2:187357754-187357868	
chr2:186677589-186677721	
chr2:180980592-180980706	
chr2:179957792-179957903	
chr2:178504063-178504173	
chr2:178465691-178465802	
chr2:178438285-178438398	1
chr2:177538176-177538286	
chr2:177264612-177264729	
chr2:177230300-177230412	
chr2:177223347-177223459	0
chr2:177223015-177223126	0
chr2:176174401-176174512	
chr2:176123512-176123624	
chr2:175927732-175927843	
chr2:175924645-175924757	
chr2:175074445-175074557	
chr2:175073715-175073826	
chr2:175073408-175073520	0
chr2:174720300-174720416	0
chr2:174463076-174463188	
chr2:174435411-174435538	
chr2:174434743-174434858	
chr2:174434259-174434372	
chr2:174433911-174434026	
chr2:174432712-174432831	
chr2:174075203-174075316	0
chr2:173908860-173908972	0
chr2:173266733-173266850	
chr2:173225543-173225658	
chr2:172597061-172597173	
chr2:172596226-172596338	
chr2:172504211-172504322	0
chr2:171690187-171690298	0
chr2:171096707-171096823	
chr2:171091665-171091812	
chr2:171021383-171021520	
chr2:170081964-170082076	
chr2:168774592-168774704	
chr2:166403889-166404001	
chr2:162020481-162020593	
chr2:161402648-161402759	0
chr2:160274476-160274589	
chr2:160274409-160274520	
chr2:160274295-160274405	
chr2:160272428-160272541	0
chr2:159812235-159812350	
chr2:159781551-159781664	
chr2:159769593-159769708	
chr2:159439031-159439145	
chr2:158680750-158680860	0
chr2:158602978-158603090	0
chr2:158528619-158528736	
chr2:157875438-157875558	
chr2:157314161-157314278	
chr2:156576416-156576530	
chr2:156535387-156535511	
chr2:156325296-156325409	
chr2:152659115-152659227	0
chr2:152655480-152655595	0
chr2:152120345-152120465	
chr2:152118396-152118511	
chr2:151802554-151802668	
chr2:151248287-151248397	
chr2:150487424-150487544	
chr2:150469593-150469705	
chr2:149200472-149200582	
chr2:148105171-148105286	
chr2:147857482-147857601	
chr2:144461049-144461161	
chr2:144388886-144388996	
chr2:143958732-143958853	
chr2:143350649-143350759	
chr2:138571948-138572064	
chr2:135907192-135907311	1
chr2:135784820-135784931	0
chr2:135783441-135783552	0
chr2:135769698-135769811	0
chr2:135724937-135725048	
chr2:135169958-135170072	
chr2:134946030-134946143	
chr2:134945718-134945828	
chr2:134450733-134450881	
chr2:134147545-134147660	
chr2:134128160-134128272	
chr2:131051433-131051548	
chr2:130374285-130374399	0
chr2:128194216-128194329	
chr2:128192216-128192333	
chr2:127862842-127862957	
chr2:127847583-127847700	
chr2:127675025-127675135	
chr2:127638412-127638524	
chr2:127497015-127497125	0
chr2:127307362-127307476	
chr2:127306797-127306925	
chr2:127305880-127305996	
chr2:127303276-127303390	
chr2:127266283-127266405	0
chr2:127047996-127048106	
chr2:121728286-121728397	0
chr2:121582735-121582848	
chr2:121340453-121340563	
chr2:121339081-121339220	
chr2:121337893-121338004	
chr2:121337766-121337878	
chr2:121221908-121222019	
chr2:121221350-121221464	
chr2:119302240-119302350	
chr2:119265537-119265649	1
chr2:119264753-119264863	
chr2:119258897-119259012	0
chr2:118108421-118108532	
chr2:118096468-118096581	
chr2:117918265-117918376	
chr2:117916286-117916397	
chr2:117832096-117832206	
chr2:113958551-113958663	
chr2:113742649-113742759	
chr2:113712273-113712386	
chr2:113584803-113584914	
chr2:113166766-113166878	
chr2:113160734-113160865	
chr2:113133502-113133612	
chr2:113133300-113133411	
chr2:112851029-112851139	
chr2:112658979-112659091	
chr2:112575474-112575584	
chr2:112117612-112117723	
chr2:111495005-111495117	
chr2:111123636-111123747	
chr2:110083945-110084067	
chr2:109906235-109906345	1
chr2:109617965-109618083	
chr2:109504454-109504564	
chr2:108771685-108771795	0
chr2:108686725-108686840	0
chr2:108473262-108473378	
chr2:105348477-105348607	
chr2:105345479-105345592	
chr2:105267021-105267134	
chr2:102690981-102691096	
chr2:102690918-102691037	
chr2:101892147-101892257	
chr2:101891967-101892078	
chr2:101891382-101891493	1
chr2:101716460-101716573	
chr2:101697879-101697993	
chr2:101276721-101276831	0
chr2:101273997-101274113	
chr2:101270026-101270138	0
chr2:101269638-101269748	0
chr2:101143013-101143127	
chr2:101023574-101023684	0
chr2:101020274-101020395	0
chr2:100576621-100576732	
chr2:99547445-99547559	
chr2:99319634-99319744	
chr2:99196035-99196146	1
chr2:98623967-98624080	
chr2:98619848-98619958	
chr2:98619329-98619440	
chr2:97735124-97735236	
chr2:96833494-96833606	
chr2:96809797-96809907	
chr2:96806485-96806604	
chr2:96186111-96186225	1
chr2:96185018-96185131	0
chr2:95827122-95827236	
chr2:95818230-95818341	
chr2:95816170-95816312	
chr2:95291159-95291269	
chr2:91684102-91684222	
chr2:91640042-91640162	
chr2:88750307-88750419	
chr2:88627161-88627286	
chr2:86785226-86785337	
chr2:86504450-86504577	
chr2:86504017-86504127	0
chr2:86502770-86502883	
chr2:86081614-86081724	
chr2:86041195-86041317	
chr2:85639404-85639520	0
chr2:85549776-85549892	
chr2:85549317-85549432	
chr2:85544888-85545000	0
chr2:85319128-85319246	1
chr2:85133655-85133776	
chr2:85053803-85053913	
chr2:84423735-84423846	0
chr2:75657834-75657945	
chr2:75655542-75655652	0
chr2:74155385-74155498	0
chr2:74154142-74154260	0
chr2:73573801-73573912	
chr2:73081045-73081178	
chr2:72176229-72176352	
chr2:71144388-71144498	0
chr2:70280033-70280145	
chr2:70279734-70279844	
chr2:70279041-70279153	
chr2:70212266-70212377	0
chr2:70030211-70030322	
chr2:69940097-69940215	
chr2:69904668-69904778	
chr2:69514580-69514700	
chr2:69462626-69462742	
chr2:69461449-69461565	
chr2:69458657-69458778	
chr2:69248161-69248272	0
chr2:68396661-68396771	
chr2:68396097-68396211	
chr2:68315550-68315662	
chr2:68208877-68208988	
chr2:68042778-68042897	
chr2:66559115-66559227	0
chr2:66492019-66492140	0
chr2:66435508-66435621	
chr2:65407195-65407308	
chr2:65270851-65270963	0
chr2:65085761-65085873	
chr2:65084472-65084586	
chr2:64632193-64632311	
chr2:64592302-64592412	
chr2:64592065-64592185	
chr2:64459963-64460079	
chr2:62880296-62880410	
chr2:61537991-61538104	
chr2:61537702-61537834	
chr2:61478135-61478247	0
chr2:61458572-61458689	
chr2:61189209-61189321	0
chr2:61049147-61049262	
chr2:60929942-60930054	
chr2:60927327-60927438	
chr2:60553490-60553608	
chr2:60457643-60457758	0
chr2:58190418-58190534	
chr2:55636175-55636286	
chr2:55312709-55312820	
chr2:55298238-55298349	
chr2:55289725-55289854	
chr2:55263559-55263674	
chr2:55050457-55050569	0
chr2:54972745-54972861	0
chr2:54669190-54669302	0
chr2:54668738-54668848	0
chr2:54668630-54668745	0
chr2:54208936-54209047	
chr2:53969637-53969753	
chr2:53865298-53865409	0
chr2:53864383-53864495	
chr2:53712719-53712835	
chr2:48515166-48515297	
chr2:48504592-48504707	
chr2:48494361-48494492	
chr2:48493547-48493661	
chr2:48491499-48491609	
chr2:48440762-48440885	
chr2:48378638-48378753	
chr2:47876866-47876977	
chr2:47875448-47875560	
chr2:47807617-47807729	0
chr2:47805551-47805664	0
