Position	b17f7e44-a968-4207-aa50-3a94ad945de6_wxs_gdc_realn.bam
unstable_loci	636
passing_loci	11689
msing_score	0.0544
msi status	NEG
chrY:56855168-56855281	
chrY:56835886-56836002	0
chrY:56835630-56835749	0
chrY:56835008-56835125	0
chrY:56834729-56834851	0
chrY:56834565-56834681	0
chrY:56834440-56834559	0
chrY:56834349-56834464	0
chrY:56834199-56834321	1
chrY:56834052-56834168	0
chrY:56834031-56834146	0
chrY:56833773-56833892	0
chrY:56833435-56833556	0
chrY:56833298-56833417	1
chrY:56833197-56833312	0
chrY:56833115-56833232	0
chrY:56832855-56832970	0
chrY:56832671-56832790	0
chrY:56832489-56832608	0
chrY:56832446-56832566	0
chrY:56832424-56832543	0
chrY:56832228-56832344	0
chrY:56831873-56831989	0
chrY:56831643-56831763	0
chrY:56831332-56831449	1
chrY:56831147-56831270	0
chrY:56830993-56831108	0
chrY:56830933-56831050	0
chrY:56830754-56830881	0
chrY:56830280-56830396	1
chrY:56769285-56769414	
chrY:56768453-56768575	
chrY:56767490-56767634	
chrY:56767105-56767220	
chrY:56765712-56765841	
chrY:56762387-56762502	
chrY:56762163-56762292	
chrY:56761331-56761453	
chrY:56761072-56761192	
chrY:56759024-56759146	
chrY:56757742-56757864	
chrY:56755475-56755594	
chrY:56755249-56755364	
chrY:56755025-56755154	
chrY:56754208-56754330	
chrY:56753255-56753400	
chrY:56752869-56752984	
chrY:56752016-56752135	
chrY:56751790-56751905	
chrY:56751566-56751695	
chrY:56748437-56748556	
chrY:56748211-56748326	
chrY:56747987-56748116	
chrY:56747745-56747860	
chrY:56746191-56746346	
chrY:56745805-56745920	
chrY:56744847-56744966	
chrY:56744397-56744526	
chrY:56743580-56743702	
chrY:56742612-56742762	
chrY:56740818-56740947	
chrY:56739986-56740108	
chrY:56737463-56737578	
chrY:56737239-56737368	
chrY:56736422-56736544	
chrY:56736183-56736298	
chrY:56733695-56733816	
chrY:56733453-56733568	
chrY:56732863-56732985	
chrY:56731905-56732055	
chrY:56730121-56730250	
chrY:56729289-56729411	
chrY:56726539-56726668	
chrY:56725707-56725829	
chrY:56724353-56724468	
chrY:56723395-56723514	
chrY:56722945-56723074	
chrY:56719821-56719940	
chrY:56719371-56719500	
chrY:56717606-56717731	
chrY:56717220-56717335	
chrY:56716262-56716381	
chrY:56714995-56715117	
chrY:56712688-56712807	
chrY:56712462-56712577	
chrY:56712238-56712367	
chrY:56709134-56709253	
chrY:56708684-56708813	
chrY:56706934-56707059	
chrY:56705155-56705284	
chrY:56701795-56701910	
chrY:56701571-56701700	
chrY:56699400-56699515	
chrY:56698442-56698561	
chrY:56697992-56698121	
chrY:56697165-56697282	
chrY:56694959-56695076	
chrY:56694863-56694985	
chrY:56694637-56694752	
chrY:56694413-56694542	
chrY:56692648-56692773	
chrY:56692262-56692377	
chrY:56691400-56691517	
chrY:56691304-56691423	
chrY:56690854-56690983	
chrY:56690022-56690144	
chrY:56688683-56688798	
chrY:56687725-56687844	
chrY:56687275-56687404	
chrY:56686458-56686580	
chrY:56685511-56685651	
chrY:56684623-56684741	
chrY:56684167-56684286	
chrY:56683941-56684056	
chrY:56683717-56683846	
chrY:56681917-56682077	
chrY:56680133-56680262	
chrY:56679301-56679423	
chrY:56678344-56678494	
chrY:56677307-56677429	
chrY:56676374-56676499	
chrY:56675988-56676103	
chrY:56675030-56675149	
chrY:56674804-56674919	
chrY:56674580-56674709	
chrY:56673748-56673870	
chrY:26671002-26671120	
chrY:26670950-26671068	
chrY:26670536-26670657	
chrY:26669347-26669467	
chrY:26654057-26654172	
chrY:26653028-26653146	0
chrY:26647289-26647425	
chrY:26645084-26645212	1
chrY:26641823-26641940	0
chrY:26640540-26640660	0
chrY:26640504-26640620	0
chrY:26639821-26639940	
chrY:26638297-26638412	0
chrY:26638261-26638378	0
chrY:26638211-26638330	0
chrY:25519576-25519693	
chrY:24896441-24896551	
chrY:24773557-24773667	
chrY:24768729-24768839	
chrY:24150450-24150567	
chrY:23280765-23280875	
chrY:23188936-23189047	
chrY:23178088-23178199	
chrY:23139834-23139944	
chrY:22416735-22416846	
chrY:22180757-22180895	
chrY:22169576-22169687	
chrY:22081977-22082089	
chrY:21904652-21904763	
chrY:21881110-21881222	
chrY:21548180-21548291	
chrY:21536965-21537111	
chrY:21524639-21524751	
chrY:20768944-20769054	
chrY:19732697-19732812	
chrY:13358983-13359094	
chrY:13336287-13336399	
chrY:12917533-12917649	
chrY:12916435-12916546	
chrY:12856797-12856909	
chrY:12842428-12842542	
chrY:12833850-12833960	
chrY:12811739-12811849	
chrY:12786451-12786567	
chrY:12739430-12739540	
chrY:11748458-11748577	0
chrY:11747653-11747803	0
chrY:11743869-11743985	0
chrY:11731255-11731414	0
chrY:11723262-11723421	0
chrY:11723241-11723361	0
chrY:11723017-11723137	0
chrY:11722062-11722187	0
chrY:11722044-11722161	0
chrY:11721974-11722135	0
chrY:11721890-11722050	0
chrY:11717729-11717874	0
chrY:11690478-11690602	0
chrY:11690448-11690577	0
chrY:11690418-11690547	0
chrY:11690398-11690517	0
chrY:11690368-11690487	0
chrY:11687984-11688123	0
chrY:11643751-11643875	0
chrY:11643676-11643847	0
chrY:11563532-11563650	
chrY:11557078-11557204	
chrY:11539026-11539152	
chrY:11534448-11534568	
chrY:11529133-11529252	0
chrY:11466902-11467012	
chrY:11303035-11303150	0
chrY:11302987-11303133	1
chrY:11302081-11302196	0
chrY:11302060-11302180	0
chrY:11300507-11300628	0
chrY:11300365-11300483	0
chrY:11300293-11300452	0
chrY:11300068-11300183	0
chrY:11299993-11300144	0
chrY:11299875-11299992	0
chrY:11299161-11299287	0
chrY:11298169-11298288	0
chrY:11298114-11298268	0
chrY:11297957-11298082	0
chrY:11297728-11297884	0
chrY:11297592-11297754	0
chrY:11297500-11297652	0
chrY:11297397-11297569	0
chrY:11297147-11297318	0
chrY:11295905-11296025	0
