Position	51484e4a-6754-4d25-934c-7643a178ed76.rna_seq.genomic.gdc_realn.bam
unstable_loci	287
passing_loci	5343
msing_score	0.0537
msi status	NEG
chrY:23143190-23143302	0
chrX:155122674-155122784	0
chrX:155122076-155122189	0
chrX:154473323-154473434	0
chrX:154428297-154428408	
chrX:154088356-154088467	0
chrX:154021813-154021923	0
chrX:153948506-153948617	0
chrX:153351535-153351647	0
chrX:151407844-151407957	1
chrX:150990499-150990614	0
chrX:150988505-150988617	0
chrX:150824497-150824609	0
chrX:150748604-150748714	0
chrX:149597170-149597282	
chrX:149482471-149482581	0
chrX:147950032-147950142	
chrX:147949735-147949846	0
chrX:136879378-136879491	1
chrX:136869674-136869784	0
chrX:136667745-136667855	
chrX:136045894-136046005	
chrX:134991667-134991779	
chrX:134896302-134896415	0
chrX:134427440-134427550	
chrX:134406060-134406171	0
chrX:132432800-132432912	0
chrX:132430076-132430186	0
chrX:132377757-132377876	
chrX:132374263-132374375	0
chrX:132204930-132205049	
chrX:132074508-132074618	0
chrX:130496708-130496828	
chrX:129522268-129522382	0
chrX:124100833-124100948	0
chrX:123912636-123912750	
chrX:123912298-123912411	0
chrX:123912189-123912301	0
chrX:123910817-123910933	0
chrX:123880687-123880806	0
chrX:123876171-123876284	0
chrX:123603027-123603140	1
chrX:123602963-123603075	0
chrX:120437362-120437476	0
chrX:120253928-120254048	0
chrX:119598040-119598161	0
chrX:119431501-119431615	0
chrX:118792970-118793080	0
chrX:118676549-118676660	
chrX:118449345-118449455	0
chrX:118431844-118431971	0
chrX:118359029-118359139	0
chrX:111619044-111619160	0
chrX:110675697-110675813	
chrX:110675676-110675796	
chrX:110174329-110174442	0
chrX:110173410-110173524	0
chrX:109642542-109642652	0
chrX:108696363-108696478	
chrX:107083122-107083235	
chrX:106941321-106941461	1
chrX:103792069-103792182	
chrX:103675693-103675806	0
chrX:103377424-103377534	0
chrX:102154232-102154348	
chrX:101413894-101414007	0
chrX:101095485-101095596	
chrX:101095260-101095374	
chrX:101010359-101010469	0
chrX:100675845-100675970	
chrX:100660812-100660924	0
chrX:96977640-96977752	
chrX:86015011-86015122	0
chrX:85329580-85329694	0
chrX:85089916-85090031	
chrX:80676323-80676435	
chrX:79360896-79361007	0
chrX:78131132-78131245	0
chrX:78126596-78126706	1
chrX:77599534-77599657	0
chrX:77508151-77508264	
chrX:77507134-77507244	0
chrX:75057713-75057825	0
chrX:74588423-74588552	
chrX:74205170-74205286	
chrX:73949680-73949791	0
chrX:73847354-73847468	
chrX:73823259-73823376	
chrX:72416464-72416575	0
chrX:72153126-72153237	
chrX:72152307-72152441	
chrX:71574703-71574821	
chrX:71574587-71574700	0
chrX:71465658-71465772	
chrX:71300337-71300451	0
chrX:71058338-71058449	0
chrX:70503547-70503660	0
chrX:70502374-70502487	0
chrX:68841307-68841435	0
chrX:68534511-68534622	1
chrX:68534230-68534342	0
chrX:67730134-67730245	
chrX:63754358-63754470	0
chrX:56565941-56566055	0
chrX:55144540-55144663	
chrX:54562744-54562859	0
chrX:54561021-54561143	0
chrX:54445437-54445550	
chrX:54444562-54444672	0
chrX:53559456-53559566	0
chrX:53192206-53192316	0
chrX:53087946-53088056	
chrX:53082526-53082648	
chrX:51816685-51816797	0
chrX:49183610-49183729	0
chrX:48973719-48973837	
chrX:48579023-48579135	0
chrX:48578138-48578249	0
chrX:48523661-48523779	0
chrX:48520547-48520672	0
chrX:48510724-48510847	0
chrX:48458649-48458767	
chrX:47635527-47635637	
chrX:47247901-47248017	0
chrX:47229213-47229326	0
chrX:46453399-46453509	
chrX:45082669-45082781	
chrX:44916975-44917090	
chrX:41733703-41733822	0
chrX:41519828-41519941	0
chrX:41349850-41349965	0
chrX:41232883-41232995	0
chrX:40627136-40627248	
chrX:38805514-38805627	0
chrX:38320590-38320709	0
chrX:38220699-38220816	
chrX:34628499-34628611	
chrX:31121392-31121509	
chrX:31120834-31120947	
chrX:31120303-31120416	
chrX:30829323-30829438	
chrX:30728892-30729006	0
chrX:24922195-24922308	0
chrX:24788720-24788831	0
chrX:24212826-24212941	
chrX:24163790-24163909	0
chrX:24078358-24078470	0
chrX:24077982-24078093	0
chrX:24076876-24076997	0
chrX:21994481-21994591	0
chrX:20127988-20128103	0
chrX:20127674-20127789	0
chrX:20125906-20126020	0
chrX:19828212-19828324	0
chrX:19535642-19535754	0
chrX:17151822-17151935	
chrX:16764645-16764756	
chrX:16762092-16762202	0
chrX:16601522-16601635	0
chrX:16596147-16596257	0
chrX:15826836-15826951	0
chrX:15826725-15826841	
chrX:15701939-15702049	0
chrX:15384099-15384209	
chrX:13773903-13774029	
chrX:13773260-13773376	
chrX:13771337-13771452	
chrX:12823266-12823382	0
chrX:11774915-11775025	0
chrX:11138397-11138507	
chrX:11111305-11111430	0
chrX:10461048-10461163	0
chrX:10143031-10143141	
chrX:10141568-10141684	
chrX:10015672-10015784	
chrX:9719586-9719699	
chrX:9719373-9719484	0
chrX:9716609-9716721	
chrX:7351885-7352003	
chrX:7075455-7075581	0
chrX:3822890-3823001	
chrX:3309127-3309241	0
chrX:2906086-2906205	0
chrX:2904853-2904970	0
chrX:2620044-2620164	0
chrX:2487318-2487433	0
chrX:1464737-1464848	
chrX:1462927-1463039	
chrX:1416335-1416448	0
chrX:1415959-1416074	0
chrX:1400313-1400437	
chrX:1361219-1361333	0
chrX:1359943-1360053	0
chrX:1306812-1306928	
chrX:323630-323773	
chrX:315993-316104	0
chrX:302220-302330	0
chrUn_GL000220v1:158051-158163	0
chrUn_GL000220v1:114165-114288	1
chrM:463-574	0
chr22_KI270733v1_random:178646-178761	0
chr22_KI270733v1_random:177426-177537	0
chr22_KI270733v1_random:176100-176223	0
chr22_KI270733v1_random:176014-176126	0
chr22_KI270733v1_random:173022-173144	0
chr22_KI270733v1_random:160051-160169	0
chr22_KI270733v1_random:156344-156461	0
chr22_KI270733v1_random:136201-136334	0
chr22_KI270733v1_random:133302-133412	0
chr22_KI270733v1_random:132347-132458	0
chr22_KI270733v1_random:131021-131144	0
chr22_KI270733v1_random:130935-131047	0
chr22_KI270733v1_random:127941-128065	0
chr22:50732735-50732846	0
chr22:50530347-50530465	0
chr22:50444576-50444687	0
chr22:50444282-50444400	0
chr22:50442502-50442618	0
chr22:50428982-50429097	0
chr22:50389948-50390059	0
chr22:50385457-50385574	0
chr22:50201170-50201280	0
chr22:49909916-49910028	0
chr22:49869071-49869187	0
chr22:46734017-46734138	0
chr22:46685013-46685123	0
chr22:46677252-46677365	0
chr22:46242681-46242811	1
chr22:46241993-46242103	0
chr22:46241863-46241981	0
chr22:45600782-45600897	0
chr22:45340758-45340869	0
chr22:45332184-45332294	0
chr22:45328582-45328694	0
chr22:45187368-45187482	0
chr22:45187116-45187233	0
chr22:45184639-45184749	0
chr22:45171146-45171262	0
chr22:45138961-45139072	
chr22:44860612-44860723	0
chr22:43129421-43129531	0
chr22:43110741-43110851	0
chr22:42983266-42983386	0
chr22:42934840-42934957	0
chr22:42569789-42569924	0
chr22:42569078-42569191	
chr22:42511129-42511244	0
chr22:42161209-42161328	0
chr22:42160590-42160702	0
chr22:42058439-42058550	0
chr22:41534842-41534963	0
chr22:41435995-41436107	0
chr22:41222873-41222984	0
chr22:41179483-41179598	0
chr22:40885939-40886050	
chr22:40811983-40812104	0
chr22:40623276-40623389	0
chr22:40335427-40335543	0
chr22:40301122-40301247	0
chr22:40151815-40151932	1
chr22:40023297-40023418	0
chr22:39516111-39516228	0
chr22:39376413-39376523	
chr22:39084478-39084591	0
chr22:39053104-39053217	0
chr22:39051486-39051601	0
chr22:38864173-38864283	0
chr22:38730960-38731100	0
chr22:38684150-38684268	0
chr22:38683865-38683980	0
chr22:38489572-38489684	0
chr22:38485767-38485880	0
chr22:38485644-38485758	0
chr22:38291844-38291967	0
chr22:38291288-38291413	0
chr22:38290855-38290965	0
chr22:38219513-38219625	0
chr22:38216360-38216472	0
chr22:37948588-37948704	
chr22:37774073-37774190	0
chr22:37773935-37774055	0
chr22:37773854-37773988	0
chr22:36281457-36281569	0
chr22:36266854-36266971	0
chr22:36266045-36266157	0
chr22:36227265-36227391	0
chr22:35744033-35744152	0
chr22:35743904-35744015	
